Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
15.744121,0.7682506,42.55824560034688,-2.1622112358104593,0.15119743,0.020915862,3081.3381,-0.73736423,2,1,false,false,-4.079319,-2.6589212,9.34651,0.19893275,-0.2323283,3
15.702629,0.7683197,42.55824361983077,-2.1622095312131706,0.15441439,0.0227038,3073.1272,-0.79696083,2,1,false,false,-4.5496883,-2.7132425,8.917364,0.19488965,-0.25208375,3
15.658491,0.7683887,42.558241639314666,-2.162207704354598,0.15906113,0.023150794,3063.2305,-0.86383426,2,1,false,false,-5.2058735,-2.860998,9.228156,0.19052494,-0.27206197,3
15.614035,0.76845753,42.558239658798556,-2.162206121275363,0.1621589,0.0227038,3052.579,-0.92683846,2,1,false,false,-5.4587746,-2.8909662,9.488391,0.1858066,-0.2944653,3
15.568314,0.7685262,42.558237678282445,-2.1622044166780743,0.16287383,0.021809835,3041.427,-0.9745842,2,1,false,false,-6.236205,-3.0282755,10.026714,0.18070726,-0.31708977,3
15.5215645,0.76859474,42.55823569776634,-2.1622027117091704,0.16311209,0.020915862,3031.5535,-1.0162772,2,1,false,false,-6.0174723,-3.0218716,9.949161,0.1752467,-0.33809593,3
15.475133,0.76866335,42.55823371752496,-2.1622011290015504,0.16311212,0.02046887,3023.1255,-1.0591855,2,1,false,false,-6.106428,-3.0345514,9.773288,0.16943544,-0.35947335,3
15.428327,0.76873237,42.55823164689798,-2.1621995459223156,0.16311212,0.019127915,3015.1233,-1.093616,2,1,false,false,-6.103967,-3.074544,9.887398,0.16326472,-0.38087,3
15.381081,0.76880115,42.55822966638187,-2.1621979628430803,0.16299294,0.018680926,3007.181,-1.1168976,2,1,false,false,-6.1909018,-3.0877912,10.115155,0.1567511,-0.40037492,3
15.334937,0.7688697,42.558227685865766,-2.1621963797638455,0.15965684,0.017786961,2998.396,-1.1384834,2,1,false,false,-6.3746834,-2.9385169,9.716727,0.14993356,-0.4175778,3
15.292237,0.768938,42.558225705349656,-2.1621947966846107,0.15691653,0.017786957,2987.5898,-1.152554,2,1,false,false,-5.8598022,-2.777764,8.949488,0.14281927,-0.43670106,3
15.248998,0.7690062,42.558223724833546,-2.1621933354950444,0.15358035,0.018680926,2975.395,-1.1615322,2,1,false,false,-6.7810655,-2.9179523,9.38558,0.13537376,-0.4560145,3
15.205473,0.76907414,42.55822174431744,-2.162191874305478,0.14416778,0.0195749,2963.7058,-1.1680864,2,1,false,false,-7.521874,-2.8840194,9.929208,0.1276464,-0.4702241,3
15.162909,0.769142,42.55821967369046,-2.1621902912262434,0.13844867,0.021362841,2956.655,-1.1712471,2,1,false,false,-7.2888246,-2.8088665,9.975107,0.119717196,-0.48067987,3
15.121329,0.7692096,42.55821769317435,-2.162188951926346,0.1312999,0.024060175,2953.0715,-1.1710122,2,1,false,false,-7.262167,-2.7453065,9.917222,0.11163637,-0.4882591,3
15.08138,0.76927716,42.55821571293297,-2.162187490365165,0.11342786,0.02987099,2950.5989,-1.1671381,2,1,false,false,-7.121338,-2.6314113,9.826253,0.10345307,-0.493286,3
15.045286,0.76934457,42.558213642305994,-2.1621861510652676,0.093172885,0.03614421,2947.748,-1.1615679,2,1,false,false,-7.2073326,-2.3300958,9.874664,0.095195845,-0.49721044,3
15.014542,0.76941186,42.55821166178988,-2.1621846898757013,0.08113906,0.044205364,2944.4014,-1.1535711,2,1,false,false,-7.3630276,-1.9885745,9.905418,0.08688754,-0.4990478,3
14.988053,0.7694798,42.5582095911629,-2.1621833502041894,0.05325868,0.055410832,2943.8315,-1.1460574,2,1,false,false,-7.1450224,-1.7832769,9.73114,0.07857844,-0.4972442,3
14.967935,0.76954764,42.5582076106468,-2.1621821327939608,0.03872275,0.065259956,2948.1145,-1.1397575,2,1,false,false,-7.1619034,-1.3170134,9.689672,0.07031999,-0.49332628,3
14.952234,0.76961535,42.558205540294544,-2.162180793122449,0.0091743115,0.07825337,2957.2634,-1.134183,2,1,false,false,-7.7076254,-1.124864,10.079119,0.062140234,-0.48814636,3
14.944073,0.769683,42.558203559778434,-2.162179575340605,0,0.09079981,2971.8523,-1.1322446,2,1,false,false,-7.669792,-0.54986775,10.478607,0.054039996,-0.48387897,3
14.940164,0.76975054,42.55820148915145,-2.1621783575587616,0,0.102883816,2991.7625,-1.1344286,2,1,false,false,-7.3423533,-0.45032954,10.289647,0.04600796,-0.47952077,3
14.936292,0.7698181,42.558199418524474,-2.1621771401485335,0,0.119915545,3017.4812,-1.1378248,2,1,false,false,-7.2846413,-0.49603742,9.926849,0.03806681,-0.47298363,3
14.932249,0.7698857,42.55819734817222,-2.1621759223666897,0,0.13603786,3049.5256,-1.1421916,2,1,false,false,-7.011665,-0.49439588,9.801788,0.030236261,-0.46679688,3
14.928215,0.76995337,42.55819527754524,-2.1621747045848463,0,0.15441056,3087.9043,-1.1506801,2,1,false,false,-7.1398745,-0.48440492,9.792633,0.022494301,-0.46224263,3
14.924155,0.7700209,42.558193207192986,-2.162173608692672,0,0.17053284,3131.796,-1.1623213,2,1,false,false,-6.9781356,-0.49837804,9.470575,0.014829319,-0.45731807,3
14.920267,0.77008855,42.558191136566,-2.1621723909108286,0,0.18082896,3171.0752,-1.1744488,2,1,false,false,-6.780834,-0.33537027,9.656855,0.0072331526,-0.45529643,3
14.940023,0.77015626,42.558189065939025,-2.162171295018654,0,0.18665515,3104.8828,-1.1907003,2,1,false,false,-7.225143,1.5756739,10.331214,-0.0003846936,-0.4596995,3
14.975409,0.77022415,42.55818699558677,-2.162170199126479,0,0.1893371,2997.994,-1.2057348,2,1,false,false,-6.7214203,2.0343592,9.87718,-0.008110997,-0.4671127,3
15.011654,0.7702921,42.558184834848916,-2.1621692247523585,0,0.18844311,2925.9224,-1.2236784,2,1,false,false,-6.9391522,1.7025917,9.909009,-0.015907746,-0.4657279,3
15.032558,0.7703602,42.558182764496664,-2.1621681288601837,0,0.18576117,2899.5742,-1.2382267,2,1,false,false,-7.5767393,0.510247,9.9771385,-0.023595411,-0.45616505,3
15.037384,0.7704283,42.558180603758814,-2.162167154857678,0,0.16649453,2910.2256,-1.2556871,2,1,false,false,-6.9817634,-0.14299294,9.357457,-0.031131245,-0.4491569,3
15.035353,0.7704963,42.55817853340656,-2.1621660589655036,0,0.13559087,2940.3206,-1.2709706,2,1,false,false,-6.6910176,-0.45972872,9.071361,-0.038598005,-0.4478447,3
15.031028,0.77056426,42.558176372668704,-2.1621650845913827,0,0.09214076,2962.207,-1.2896508,2,1,false,false,-7.2013497,-0.47438374,9.2219715,-0.046090573,-0.45181704,3
15.028527,0.7706322,42.55817421220558,-2.162164110588877,0,0.056304805,2962.6536,-1.3039672,2,1,false,false,-8.214472,-0.43144926,10.106915,-0.05370932,-0.4647079,3
15.026599,0.77070016,42.55817205174245,-2.162163258104425,0,0.016430583,2946.9,-1.3177986,2,1,false,false,-7.219698,-0.30872858,10.921728,-0.061624028,-0.48312965,3
15.023113,0.77076805,42.5581698910046,-2.1621622841019192,0,0,2930.2983,-1.3265331,2,1,false,false,-8.206693,-0.6291102,11.721508,-0.06975287,-0.492406,3
15.017421,0.770836,42.55816773054148,-2.1621614316174673,0,0,2914.6987,-1.3272618,2,1,false,false,-7.238575,-0.5480957,11.561031,-0.07801776,-0.49882796,3
15.013575,0.77090394,42.55816557007835,-2.162160579133016,0.04098654,0,2899.9956,-1.3243515,2,1,false,false,-5.976051,-0.37453857,10.3828745,-0.08637582,-0.5047559,3
15.000199,0.77097166,42.558163409340494,-2.162159726648564,0.102823794,0,2885.7205,-1.3148893,2,1,false,false,-7.8117332,-1.6086924,9.758856,-0.09476711,-0.50453013,3
14.96883,0.7710383,42.55816124887737,-2.1621589960537806,0.23102586,0,2869.5884,-1.3042176,2,1,false,false,-6.2569366,-2.040368,11.1561,-0.10322521,-0.5100087,3
14.927251,0.7711047,42.55815908841424,-2.162158143940944,0.2857143,0,2857.1187,-1.2947617,2,1,false,false,-5.048981,-3.4284906,9.3111105,-0.111628436,-0.50143766,3
14.876764,0.77117074,42.55815692767639,-2.162157412974546,0.3715001,0,2841.509,-1.2826406,2,1,false,false,-4.336662,-2.262145,8.466151,-0.119860895,-0.48028207,3
14.7909775,0.7712365,42.55815476721327,-2.162156682379763,0.4004527,0,2828.742,-1.27319,2,1,false,false,-8.088832,-8.513687,9.57792,-0.12764414,-0.46994108,3
14.673848,0.77130175,42.55815260675014,-2.1621559517849795,0.43357554,0,2807.213,-1.2659302,2,1,false,false,-7.801912,-7.0222135,12.846211,-0.13559899,-0.4817772,3
14.596703,0.7713665,42.55815053612316,-2.1621552211901967,0.43953297,0,2766.9705,-1.2693543,2,1,false,false,-3.255744,-3.74837,9.232071,-0.143498,-0.46048343,3
14.534283,0.7714309,42.55814837566003,-2.1621544905954133,0.4412009,0,2738.8953,-1.267674,2,1,false,false,-5.6306877,-4.7612467,7.423973,-0.15081856,-0.41576838,3
14.378416,0.77149487,42.55814630503305,-2.162153881890299,0.4413201,0,2712.4163,-1.2662318,2,1,true,false,-10.551107,-7.3990126,11.533088,-0.15793338,-0.44240278,3
14.283756,0.77155817,42.55814414456992,-2.16215327281357,0.42654586,0,2692.5151,-1.2835017,2,1,false,false,-3.1656742,-3.1972609,10.553839,-0.16563721,-0.4633568,3
14.240723,0.7716213,42.558142073942946,-2.1621526641084556,0.40998453,0,2660.823,-1.3107101,2,1,false,false,-4.3183365,-4.199237,8.125934,-0.17320484,-0.436995,3
14.148588,0.77168405,42.558140003590694,-2.1621520554033413,0.3878232,0,2637.4924,-1.3218882,2,1,false,false,-5.821127,-7.5225353,7.785306,-0.180245,-0.40144652,3
13.986538,0.77174604,42.55813793296371,-2.1621514463266123,0.32824972,0,2623.904,-1.3328398,2,1,true,false,-11.079008,-7.4693274,11.272404,-0.18753771,-0.46492413,3
13.935685,0.77180713,42.558135862336734,-2.1621509591395522,0.23603001,0,2611.911,-1.344784,2,1,true,false,-2.9323595,-1.9240253,9.575765,-0.19563328,-0.48074484,3
13.910048,0.77186805,42.55813379198448,-2.1621504723241065,0.17764801,0.19426936,2637.4492,-1.3666553,0,1,false,false,-6.725689,-1.8821892,7.342945,-0.20361397,-0.4634375,3
13.861076,0.7719287,42.5581317213575,-2.162149985137046,0.114261895,0.49035895,2749.1484,-1.3615627,0,1,false,false,-6.183234,-6.1084733,6.8267097,-0.21127973,-0.45965022,3
13.753181,0.7719889,42.55812974084139,-2.162149497949986,0.0017872043,0.92173123,2933.3748,-1.3654647,0,1,true,false,-13.295078,-1.531104,12.069571,-0.21964401,-0.53130114,3
13.759168,0.7720489,42.55812767021441,-2.1621490111345403,0,0.99999994,3143.9941,-1.3735144,1,1,false,false,-4.1084085,0.15396611,8.264121,-0.22865668,-0.54860246,3
13.7576275,0.77210885,42.55812559986216,-2.162148645837149,0,1,3366.8506,-1.3858998,1,1,false,false,-8.337093,-0.7348709,7.3310766,-0.23781116,-0.5472018,3
13.718398,0.7721687,42.55812361934605,-2.1621482801681426,0,1,3585.7556,-1.373999,1,1,false,false,-12.797184,-2.41786,10.036507,-0.24683058,-0.5408604,3
13.714091,0.77222836,42.558121548719065,-2.1621479148707508,0,1,3776.7273,-1.3720683,1,1,false,false,-6.8893657,0.14669144,10.696037,-0.2558636,-0.55150926,3
13.713007,0.7722881,42.55811947836681,-2.1621475495733593,0,1,3980.1536,-1.3740131,1,1,false,false,-6.2354145,-0.17390516,6.958224,-0.2650324,-0.55417836,3
13.710696,0.77234775,42.55811749785071,-2.162147184275968,0,1,4194.3164,-1.369642,1,1,false,false,-7.6416187,-0.4384377,6.418265,-0.2741184,-0.5407388,3
13.752721,0.7724075,42.558115427223726,-2.162146940868245,0,1,4201.457,-1.3720708,1,1,false,false,-14.716311,4.6246552,12.675744,-0.28283992,-0.51203537,3
13.814275,0.7724675,42.55811335659674,-2.1621466974605226,0,1,4064.211,-1.383475,1,1,false,false,-3.0928211,4.0381026,7.915541,-0.29157692,-0.55066085,3
13.883687,0.7725278,42.55811128624449,-2.162146453681185,0,1,4000.4897,-1.393655,1,1,false,false,-5.9717145,3.4854386,6.958139,-0.30107778,-0.5935758,3
13.982602,0.7725884,42.55810921561751,-2.162146210273462,0,1,4062.034,-1.3953317,1,1,false,false,-9.011211,8.081906,10.075673,-0.3107188,-0.55514413,3
14.074247,0.77264935,42.55810714499053,-2.1621459668657392,0,0.8845545,4034.7727,-1.4086558,1,1,false,false,-8.301936,0.95632106,11.498567,-0.31937677,-0.5041973,3
14.126106,0.77271056,42.558104984527404,-2.1621458449760707,0,0.7412107,3933.9998,-1.4282998,1,1,false,false,-5.718184,3.4269323,7.1983595,-0.32796925,-0.53266716,3
14.202076,0.77277195,42.55810291390043,-2.1621457230864016,0,0.63102084,3907.6873,-1.448198,1,1,false,false,-8.056426,6.591075,8.561453,-0.33701113,-0.5385019,3
14.302576,0.77283376,42.5581007534373,-2.162145601568348,0,0.57770634,3860.868,-1.468574,1,1,false,false,-13.504931,3.6162865,14.725414,-0.345424,-0.46474305,3
